filler type.1,matrix type,filler size/nm,BET,cage size/A,aperture size/A,loading amout,thickness/μm,T/℃,P/bar,Control CH4 permeability,Control CO2/CH4 selectivity,Relative CO2 permeability,Relative CO2/CH4 selectivity
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,2,0.223,9.417040359,2.261904762,1.073201621
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,2,0.223,9.417040359,3,0.98964497
UiO-66,Matrimid 9725,,873,11,6,0.3,85,35,9,0.189102564,31.2,6.440677966,1.528846154
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,4,0.227,9.911894273,2.253333333,0.737041306
Cu3BTC2,PVDF,15000,626,,,0.15,,25,0.5,0.043,21.27906977,2.171584699,2.122230502
MIL-53,6FDA/ODA-DAM,125,840,7.8,7.8,0.1,61.5,35,11.2,2.3,23.52173913,0.946395564,1.20928322
ZIF-8,PEBAX-1074,90,1500,11.8,3.4,0.2,60,25,3,5.8,11.20689655,2.538461538,1.600334448
MOF-74,PIM-1-TD,11000,1250,11,11,0.2,50,25,2,536,12.26865672,3.234336983,1.556198046
[Ni3(HCOO)6],BTDA-TDI/MDI (P84),400,293,4.6,4.6,0.15,,30,5,0.016363636,44,1.75,1.522727273
ZIF-71,6FDA-Durene,100,679,16.5,4.2,0.2,,35,3.5,58.6,14.70858896,4.177267987,0.86738176
MIL-101,6FDA-mPD,250,2770,12,12,0.16,,35,3,0.185185185,54,2.9,1
Cu3BTC2,Azide-PMP,100,1232,8.6,8.6,0.15,60,30,2,10.5,9.257142857,1.279835391,2.44332211
ZIF-8,6FDA-Durene,150,1350,11.6,3.4,0.2,50,25,2,65,22.58923077,1.380916706,0.7486204
ZIF-8,PVC-g-POEM,250,1350,11.6,3.4,0.1,,35,1,2.4,18.125,4.84137931,0.790429275
UiO-66,6FDA-BisP,50,951,11,6,0.08,45,25,2,1,28,2.857142857,1.303571429
UiO-66,6FDA-ODA,50,951,11,6,0.21,100,25,2,0.717948718,39,2.571428571,0.31025641
MIL-53,Matrimid 5218,280,1440,8.5,8.5,0.1,,35,3,0.22,28.18181818,1.201612903,1.101478495
UiO-66,6FDA-DAM,50,951,11,6,0.04,45,25,2,33.89830508,29.5,1.29,1.030508475
Cu3BTC2,ODPA–TMPDA,400,1232,8.6,8.6,0.15,55,35,2,1.628542165,29.29,2.578616352,0.914988051
MIL-53,PVDF,100,782,7.8,7.8,0.1,,25,0.5,0.043,21.27906977,1.536612022,1.223598462
NOTT-300,PEBAX 1657,900,1370,6.5,6.5,0.3,60,25,10,3.8,21.61842105,3.213633597,1.29225478
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,1,0.22,9.318181818,1.985365854,0.762269612
MIL-53,Matrimid 5218,125,1440,8.5,8.5,0.15,61.5,35,11.2,0.2,31,1.080645161,0.304407088
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,3,0.225,9.777777778,3.181818182,0.909668476
ZIF-7,XLPEO,40,417,7.5,3,0.3,100,35,5,4.565217391,23,2.047619048,2.434782609
ZIF-8,Matrimid 5218,300,1550,1.16,3.4,0.2,55,35,5,0.355,23.38028169,2.144578313,1.834518798
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,2,0.223,9.417040359,1.852380952,0.913895912
Cu3BTC2,ODPA–TMPDA,400,1232,8.6,8.6,0.1,55,35,2,0.202666667,37.5,2.026315789,1.013333333
ZIF-8,Matrimid 5218,120,1350,11.6,3.4,0.2,,35,5,0.24,33.33333333,2.3125,1.85
ZIF-8,Matrimid 5218,50,1350,11.6,3.4,0.2,40,35,2.6,0.24,41.66666667,0.8,1.066666667
UiO-66,6FDA-DAM,50,951,11,6,0.14,125,25,2,35.0877193,28.5,2.05,1.070175439
MOF-5,Matrimid 5218,100,3000,11,11,0.3,35,35,2,0.22,40.90909091,2.244444444,1.097283951
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,1,0.22,9.318181818,2.804878049,0.977928955
ZIF-8,Matrimid 5218,50,1350,11.6,3.4,0.4,40,35,2.6,0.24,41.66666667,2.6,0.701123596
MIL-53,PSF,1000,1475,,6,0.25,75,35,3,0.211570248,24.2,1.07421875,1.165289256
ZIF-71,6FDA-Durene,100,679,16.5,4.2,0.1,,35,3.5,58.6,14.70858896,1.882168926,1.014193504
Fe-BTC,PEBAX 1657,200,1500,8.5,5.8,0.1,,25,3,3.84,18.40364583,1.164850715,1.052476881
ZIF-8,Pebax2533,400,1350,11.6,3.4,0.35,50,25,2,42,8.357142857,3.666666667,4.529411765
ZIF-11,Matrimid 5218,1000,1100,16.5,3,0.4,70,35,4,0.26,16.15384615,2.380952381,4.126984127
ZIF-8,6FDA-HAB DAM,50,1350,11.6,3.4,0.2,60,35,1,2.3,50.86956522,1.914529915,0.721871935
ZIF-108,P84,,384,16.4,5.5,0.05,,30,3,0.098066298,72.4,4.126760563,0.98480663
ZIF-8,Matrimid 5218,60,1450,11.6,3.4,0.2,55,22,4,0.23,35.08695652,2.060718711,1.030359356
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,5,0.249,9.236947791,3.108695652,1.048868858
ZIF-8,Matrimid 5218,50,1350,11.6,3.4,0.5,40,35,2.6,0.24,41.66666667,0.5,2.4
Cu3BTC2,ODPA–TMPDA,400,1232,8.6,8.6,0.5,55,35,2,1.628542165,29.29,10.33542977,0.35506999
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,3,0.225,9.777777778,1.877272727,0.88736631
ZIF-8,PEBAX 1657,250,698,11.6,3.4,0.2,80,25,1,4,19,1.973684211,1.096491228
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,4,0.227,9.911894273,1.697777778,1.185832479
ZIF-8,PEBAX 1657,250,698,11.6,3.4,0.1,80,25,1,4,19,1.210526316,1.729323308
UiO-66,6FDA-DAM,,913,11,6,0.24,125,25,2,35.0877193,28.5,1.45,0.807017544
ZIF-8,Pebax2533,400,1350,11.6,3.4,0.1,50,25,2,42,8.357142857,1.216524217,1.021880342
Cu3BTC2,Ultem 1000,1000,1439,8.6,8.6,0.2,42.5,35,3.5,0.031003535,36.77,2.087719298,1.025292358
ZIF-8,6FDA-Durene/DABA (9/1),80,1350,11.6,3.4,0.4,50,3,10,13.1,19.54198473,3.04296875,1.065852691
ZIF-8,Matrimid 5218,120,1350,11.6,3.4,0.1,,35,5,0.24,33.33333333,1.5625,1.5
MIL-53,FDH,100,1400,8.5,8.5,0.1,,35,11.2,3,18.03333333,1.134935305,0.873027158
ZIF-8,PIM-1,40,1350,11.6,3.4,0.43,,35,1,310,24.38888889,4.407744875,0.450792089
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,3,0.225,9.777777778,1.913636364,0.875138581
MIL-53,PMP,110,1440,7.8,7.8,0.05,65,30,2,11.32,8.722614841,1.086894875,1.359519336
ZIF-8,6FDA-Durene,150,1350,11.6,3.4,0.07,50,25,2,65,22.58923077,1.207859429,0.860864725
UiO-66,6FDA-DAM,,913,11,6,0.16,125,25,2,35.0877193,28.5,1.25,1.122807018
Fe-BTC,Matrimid 5218,50000,1500,8.5,5.5,0.2,61.5,35,5,0.354,25.19774011,1.170403587,1.070601731
ZIF-7,PIM-1-TT,30,426,7.5,3,0.2,85,30,2,368.852459,12.2,0.633333333,1.721311475
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,4,0.227,9.911894273,2.177777778,0.890730731
ZIF-67,PIM-1-TT,300,1481,11.6,3.4,0.2,85,30,2,360,6.2,1.568181818,1.903225806
Cu3BTC2,Ultem 1000,1000,1439,8.6,8.6,0.4,42.5,35,3.5,0.031003535,36.77,10.04385965,0.579276584
HKUST-1,6FDA-ODA,15000,809,9.5,3.5,0.25,30,35,11.2,0.33,43.63636364,1.513888889,1.161821705
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,3,0.225,9.777777778,3.095454545,0.783439002
MOF-5,Matrimid 5218,100,3000,11,11,0.2,35,35,2,0.22,40.90909091,1.533333333,0.992156863
UiO-66,6FDA-DAM,,913,11,6,0.06,125,25,2,35.0877193,28.5,1.17,1.087719298
ZIF-8,6FDA-Durene,50,1500,11.6,3.4,0.2,,30,3.5,66.57,7.030343999,3.125488772,1.275682327
